"fac","subj","crsnum","longtitle"
"AP","ADMS",4280,"Social Marketing"
"AP","ADMS",4285,"Brand Management"
"AP","ADMS",4286,"Advanced Brand Management"
"AP","ADMS",4290,"Marketing For Competitive Advantage"
"AP","ADMS",4300,"Decision Making"
"AP","ADMS",4333,"Supply Chain Management"
"AP","ADMS",4345,"Modeling and Simulation for Management"
"AP","ADMS",4360,"Materials and Inventory Management"
"AP","ADMS",4370,"Data Analysis Systems"
"AP","ADMS",4421,"Qualitative Methods"
"AP","ADMS",4444,"Identity and Inclusivity in Organizations"
"AP","ADMS",4501,"Advanced Portfolio Management"
"AP","ADMS",4502,"Ethics for Investment Managers"
"AP","ADMS",4503,"Derivative Securities"
"AP","ADMS",4504,"Fixed Income Securities and Risk Management"
"AP","ADMS",4505,"Advanced Personal Finance"
"AP","ADMS",4506,"Professional Financial Planning"
"AP","ADMS",4510,"Accounting Theory and Contemporary Issues"
"AP","ADMS",4511,"Managing and Implementing Strategic Information Systems"
"AP","ADMS",4515,"Internal Audit"
"AP","ADMS",4520,"Advanced Financial Accounting"
"AP","ADMS",4535,"Financial Statement Analysis"
"AP","ADMS",4536,"Security Valuation"
"AP","ADMS",4540,"Financial Management"
"AP","ADMS",4541,"Applied Corporate Finance"
"AP","ADMS",4542,"International Financial Management"
"AP","ADMS",4551,"Auditing and Other Assurance Services"
"AP","ADMS",4552,"Information Systems Audits"
"AP","ADMS",4553,"Auditing: Advanced Topics"
"AP","ADMS",4560,"Income Taxation in Canada-Advanced Seminar"
"AP","ADMS",4561,"Taxation Of Personal Income in Canada"
"AP","ADMS",4562,"Corporate Taxation in Canada"
"AP","ADMS",4563,"Introduction to US Federal Income Taxation"
"AP","ADMS",4570,"Management Planning and Control Systems"
"AP","ADMS",4590,"Comprehensive and Multi-subject Accounting Problems"
"AP","ADMS",4690,"Board Leadership, Effectiveness and Succession Planning"
"AP","ADMS",4704,"Disaster and Logistics"
"AP","ADMS",4705,"Comprehensive Emergency Management 2:  The Canadian Context"
"AP","ADMS",4708,"Research Seminar in Disaster and Emergency Management"
"AP","ADMS",4709,"Terrorism: The New Threat"
"AP","ADMS",4710,"The Canadian Health Care System"
"AP","ADMS",4900,"Management Policy Part I"
"AP","ADMS",4910,"Management Policy Part II"
"AP","ADMS",4940,"Technology Management"
"AP","ANTH",1120,"Making Sense of a Changing World: Anthropology Today"
"AP","ANTH",2100,"Power, Politics & Development: Anthropological Approaches"
"AP","ANTH",2110,"Core Concepts in Anthropology"
"AP","ANTH",2120,"Visualizing Ourselves, Visualizing Others: Media, Representation and Culture"
"AP","ANTH",2140,"Introduction to Archaeology and Prehistory: Humanity's Journeys'"
"AP","ANTH",2150,"Early Civilizations: Complex Societies of the New and Old Worlds"
"AP","ANTH",2170,"Sex, Gender and the Body: Cross-Cultural Approaches to the Body, Gender, Sexuality and Kinship"
"AP","ANTH",2200,"How People Know: Anthropological Approaches"
"AP","ANTH",3030,"Discourses Of Colonialism"
"AP","ANTH",3080,"Modes of Enablement: A Cultural Perspective on Physical Disability"
"AP","ANTH",3110,"Acquiring Research Skills"
"AP","ANTH",3120,"The Anthropology of Tourism"
"AP","ANTH",3130,"Archaeology and Society: Local Pasts in a Global Present"
"AP","ANTH",3200,"The Anthropology of International Health"
"AP","ANTH",3210,"Public Anthropology"
"AP","ANTH",3220,"Greed, Globalization and the Gift: The Culture of Capitalism"
"AP","ANTH",3230,"Women, Culture and Society"
"AP","ANTH",3240,"Sexing the Subject: Sexuality from a Cross-Cultural Perspective"
"AP","ANTH",3270,"The Anthropology of Outer Space"
"AP","ANTH",3280,"Psychiatric Anthropology and Social Stress"
"AP","ANTH",3320,"Religious Ritual and Symbolism"
"AP","ANTH",3330,"Health and Illness in Cross-Cultural Perspective"
"AP","ANTH",3350,"Culture as Performance: The Anthropology of the Arts"
"AP","ANTH",3370,"Power and Violence: The Making of """"Modernity"""""
"AP","ANTH",3400,"The Politics of Recognition: Citizenship and Civil Society"
"AP","ANTH",3410,"Critical Perspectives on Ethnicity and Nationalism"
"AP","ANTH",3560,"Anthropology of the Senses"
"AP","ANTH",4010,"Directed Reading"
"AP","ANTH",4010,"Directed Reading"
"AP","ANTH",4030,"Intercultural Training Skills"
"AP","ANTH",4110,"Development of Theory in Social Anthropology"
"AP","ANTH",4160,"Anthropology and Indigenous Peoples' Health"
"AP","ANTH",4180,"Anthropology, Islam and Muslim Societies"
"AP","ANTH",4220,"The Cultures of the Web"
"AP","ANTH",4240,"Nature, Politics, and Difference: Anthropology of Social/Natures"
"AP","ANTH",4270,"Imagined Societies: An Anthropology of Nations Without Boundaries"
"AP","ANTH",4340,"Advocacy and Social Movements"
"AP","ANTH",4350,"Perspectives in Visual Anthropology"
"AP","ANTH",4410,"The Anthropology of Human Rights"
"AP","ANTH",4420,"The Anthropology of Gender and War"
"AP","ANTH",4440,"Toward an Anthropology of Masculinities"
"AP","ANTH",4450,"The Anthropology of the City"
"AP","ARB",1000,"Introduction to Modern Standard Arabic"
"AP","ARB",1010,"Introduction to Modern Standard Arabic for Advanced Beginners"
"AP","ARB",2000,"Intermediate Arabic"
"AP","ARB",2700,"Introduction to Arab Culture"
"AP","ARB",3000,"Advanced Standard Arabic"
"AP","ASL",1000,"American Sign Language, Level I: Introduction to Sign Language Studies"
"AP","ASL",2000,"American Sign Language, Level II"
"AP","ASL",3000,"American Sign Language, Level III"
"AP","CAW",1100,"Studies in the University: Higher Education at York University"
"AP","CDNS",2200,"Introduction to Canadian Studies"
"AP","CDNS",4100,"Directed Reading"
"AP","CDNS",4200,"Metis Families in Canada"
"AP","CH",1000,"Elementary Modern Standard Chinese"
"AP","CH",1010,"Elementary Chinese for Advanced Beginners"
"AP","CH",2000,"Intermediate Modern Standard Chinese"
"AP","CH",2200,"Introduction to Chinese Literature"
"AP","CH",3000,"Advanced Modern Standard Chinese"
"AP","CH",3010,"Modern Standard Chinese for Speakers of Cantonese or Other Dialects"
"AP","CH",3660,"Modern Chinese Drama: Cao Yu and His Contemporaries (in Chinese)"
"AP","CH",3711,"Women Writers in Modern and Contemporary China"
"AP","CH",3791,"Contemporary Chinese Culture Through Literary Texts and Film (in translation)"
"AP","CH",3800,"Chinese-Canadian Diasporic Literature"
"AP","CH",3810,"Chinese-American Diasporic Literature"
"AP","CH",3820,"Modern and Contemporary Chinese Literature"
"AP","CH",4050,"Advanced Chinese for Business"
"AP","CH",4300,"Classical Chinese Fiction"
"AP","CLTR",1953,"Canadian Writers in Person"
"AP","CLTR",2100,"Questioning Culture"
"AP","CLTR",2420,"Communication, Presentation Skills and Voice"
"AP","CLTR",2510,"Popular Technologies and Cultural Practice"
"AP","CLTR",2610,"Music in Human Experience"
"AP","CLTR",2860,"In Other Worlds: The Arts and Artists in Three-Dimensional Multi-User Digital Environments"
"AP","CLTR",3100,"Culture, Meaning & Form"
"AP","CLTR",3140,"Digital Culture in the Humanities"
"AP","CLTR",3225,"Performance And Resistance"
"AP","CLTR",3250,"Rethinking Contemporary History Through Film and Popular Culture"
"AP","CLTR",3510,"Arts and Rights"
"AP","CLTR",3570,"Experiencing Canadian Culture"
"AP","CLTR",3595,"Radicalism and Cultural Movements"
"AP","CLTR",4000,"Independent Studies in Culture & Expression"
"AP","CLTR",4000,"Independent Studies in Culture & Expression"
"AP","CLTR",4810,"Architecture and Social Change"
"AP","CLTR",4820,"Fetish Appeal: Desire and Consumption"
"AP","CLTR",4850,"Propaganda and Culture"
"AP","CLTR",4851,"Literary, Musical, and Visual Cultures: Modernism Across the Arts"
"AP","COGS",4901,"Honours Seminar in Cognative Science"
"AP","COMN",1000,"Introduction to Communications"
"AP","COMN",2111,"Communication in Everyday Life"
"AP","COMN",2200,"Introduction to Politics, Policy and the Media"
"AP","COMN",2500,"Information and Technology"
"AP","COMN",2700,"Media, Culture and Society"
"AP","COMN",2840,"Film and Society"
"AP","COMN",3100,"Foundational Communication Theory"
"AP","COMN",3101,"Contemporary Communication Theory"
"AP","COMN",3111,"Organizational Communication"
"AP","COMN",3112,"Problematic Communication in Organizations"
"AP","COMN",3150,"Introduction to Research Methods in Communication Studies"
"AP","COMN",3151,"Research Methods Seminar"
"AP","COMN",3590,"Feminist Perspectives on Media"
"AP","COMN",3591,"Feminist Perspectives on Technology"
"AP","COMN",3700,"Advertising: The Growth of a Twentieth Belief System"
"AP","COMN",3701,"Advertising, Culture and Society"
"AP","COMN",3750,"Television as Communication"
"AP","COMN",3751,"Television as Culture"
"AP","COMN",4119,"Theory and Practice of Effective Communication"
"AP","COMN",4150,"Experiential Research Methods at Work"
"AP","COMN",4202,"Issues in the Political Economy of Media"
"AP","COMN",4203,"Approaches to Communication and Development"
"AP","COMN",4214,"Media, Publics and Democracy"
"AP","COMN",4217,"Governing Culture: Cultural Policy in an Era of Neoliberal Globalization"
"AP","COMN",4270,"Cultural Industries and Work"
"AP","COMN",4518,"Intersections of Bodies and Technologies"
"AP","COMN",4520,"Electronic Information Network Marketplace"
"AP","COMN",4700,"Popular Culture and Communications"
"AP","COMN",4703,"Children, Media, Education and Change"
"AP","COMN",4704,"Global Media, Local Communication"
"AP","COMN",4721,"The City in Film:  Identity and Place"
"AP","COMN",4725,"Mediations of Identity"
"AP","COMN",4726,"Visual Culture: Histories, Theories and Politics"
"AP","COMN",4729,"Popular Music as Communication and Culture"
"AP","COMN",4731,"Nonverbal Communication"
"AP","COMN",4732,"Theories of Diaspora and Transnational Media"
"AP","COMN",4733,"Second-Generation Diaspora and Identity"
"AP","COMN",4747,"Print! The History and Culture of the Printed Word"
"AP","COMN",4780,"Registers of Memory"
"AP","COMN",4790,"Reflections on Consumer Culture: The Modern History and Analysis of Consumer Culture in the Western World"
"AP","CRIM",2653,"Research Methods in Criminology"
"AP","ECON",1000,"Introduction to Microeconomics"
"AP","ECON",1010,"Introduction to Macroeconomics"
"AP","ECON",1530,"Introductory Mathematics for Economists I"
"AP","ECON",1540,"Introductory Mathematics for Economists II"
"AP","ECON",1900,"Microeconomics for Life: Making Smart Choices"
"AP","ECON",1910,"Macroeconomics for Citizens: Government Hands-Off or Hands-On?"
"AP","ECON",2300,"Intermediate Microeconomic Theory I"
"AP","ECON",2350,"Intermediate Microeconomic Theory II"
"AP","ECON",2400,"Intermediate Macroeconomic Theory I"
"AP","ECON",2450,"Intermediate Macroeconomic Theory II"
"AP","ECON",2500,"Introductory Statistics for Economists I"
"AP","ECON",3150,"International Trade"
"AP","ECON",3199,"Approaches to Global Economics (writing)"
"AP","ECON",3200,"Industrial Organization"
"AP","ECON",3210,"Use of Economic Data"
"AP","ECON",3230,"Urban Economics"
"AP","ECON",3240,"Labour Economics: Theory"
"AP","ECON",3249,"Labour Economics: Theory (Writing)"
"AP","ECON",3340,"Environmental Economics"
"AP","ECON",3411,"Managerial Economics and Strategy"
"AP","ECON",3430,"Monetary Economics I: Financial Markets and Institutions"
"AP","ECON",3440,"Monetary Economics II: Theory and Policy"
"AP","ECON",3473,"Global Business Economics"
"AP","ECON",3480,"Introductory Statistics for Economists II"
"AP","ECON",3500,"Introductory Mathematical Statistics for Economists"
"AP","ECON",3510,"Health Economics"
"AP","ECON",3530,"Intermediate Mathematics for Economists"
"AP","ECON",3550,"Economic Growth and Development"
"AP","ECON",3560,"Economic Policy in Developing Countries"
"AP","ECON",3569,"Economic Policy in Developing Countries"
"AP","ECON",3580,"International Monetary Economics"
"AP","ECON",3620,"Economics of Unemployment"
"AP","ECON",3709,"Economics of Gender (Writing)"
"AP","ECON",3810,"The Economics of Project Appraisal and Feasibility"
"AP","ECON",4000,"Directed Reading"
"AP","ECON",4010,"Advanced Microeconomic Theory"
"AP","ECON",4020,"Advanced Macroeconomic Theory"
"AP","ECON",4059,"History of Economic Thought I"
"AP","ECON",4069,"History of Economic Thought II"
"AP","ECON",4070,"Public Finance I"
"AP","ECON",4080,"Public Finance II"
"AP","ECON",4083,"Economics of Information and Incentives"
"AP","ECON",4129,"International Trade Policy and Economic Integration"
"AP","ECON",4130,"Game Theory in Economics"
"AP","ECON",4140,"Financial Econometrics"
"AP","ECON",4190,"Topics in International Trade"
"AP","ECON",4200,"Topics in International Monetary Economics"
"AP","ECON",4210,"Econometrics"
"AP","ECON",4259,"Topics in Health Economics"
"AP","ECON",4279,"Housing Economics"
"AP","ECON",4350,"Topics in Industrial Organization"
"AP","ECON",4400,"Financial Economics"
"AP","ECON",4410,"Corporate Finance"
"AP","ECON",4420,"Topics in Corporate Finance"
"AP","EN",1001,"An Introduction to Literary Study"
"AP","EN",1002,"Intertextualities"
"AP","EN",1006,"A Writer's Introduction to Literary Forms"
"AP","EN",2001,"Literary Theory I"
"AP","EN",2002,"Literary Theory II"
"AP","EN",2010,"Gender Studies"
"AP","EN",2011,"Gender Studies I"
"AP","EN",2012,"Gender Studies II"
"AP","EN",2020,"English Language and Linguistics"
"AP","EN",2100,"Poetry"
"AP","EN",2120,"Prose Narrative"
"AP","EN",2120,"Prose Narrative"
"AP","EN",2140,"Drama"
"AP","EN",2150,"Satire"
"AP","EN",2220,"Canadian Literature"
"AP","EN",2230,"Introduction to American Literature"
"AP","EN",2240,"Introduction to Postcolonial Literatures in English: African, Caribbean, South Asian and the South Pacific"
"AP","EN",2250,"Introduction to British Literature"
"AP","EN",2600,"Introduction to Creative Writing"
"AP","EN",3000,"Contemporary Literary and Cultural Theory"
"AP","EN",3020,"Psychoanalysis and Approaches to Literature"
"AP","EN",3070,"Filming Literature"
"AP","EN",3080,"Theatre in Review"
"AP","EN",3130,"Modernisms"
"AP","EN",3132,"Dada, Surrealism, and Early Avant-Garde Movements"
"AP","EN",3140,"Avant-garde Movements Since 1945"
"AP","EN",3150,"Women in Literature: A Comparative Analysis"
"AP","EN",3155,"Recent Women Fiction Writers"
"AP","EN",3163,"Rogues, Outcasts, Runaways: The Picaresque Novel in English"
"AP","EN",3170,"Horror and Terror: Variations on Gothic"
"AP","EN",3171,"Coming of Age in Fiction"
"AP","EN",3172,"Apocalyptic Science Fiction"
"AP","EN",3174,"20th Century Children's Literature"
"AP","EN",3176,"Comics and Cartoons I"
"AP","EN",3177,"Comics and Cartoons II"
"AP","EN",3178,"The English Detective Novel"
"AP","EN",3179,"The Art of the Personal Essay"
"AP","EN",3180,"Literary Nonfiction"
"AP","EN",3190,"Modern Drama"
"AP","EN",3191,"Comedy"
"AP","EN",3210,"Modern Canadian Poetry"
"AP","EN",3230,"Modern Canadian Fiction"
"AP","EN",3231,"Modern Québécois Fiction in Translation"
"AP","EN",3310,"Poetry of the United States"
"AP","EN",3322,"American Literature: 19th Century"
"AP","EN",3350,"Studies in the Literature of the United States: The Harlem Renaissance in the Age of Jazz"
"AP","EN",3390,"Style and Rhetoric in Prose and Oratory"
"AP","EN",3410,"Caribbean Literature"
"AP","EN",3430,"South Asian Literature"
"AP","EN",3506,"Chaucer"
"AP","EN",3525,"Renaissance Literature"
"AP","EN",3535,"Shakespeare"
"AP","EN",3536,"Shakespeare and His Contemporaries"
"AP","EN",3550,"19th-Century British Literature & Culture"
"AP","EN",3560,"The English Romantics"
"AP","EN",3600,"Principles of Creative Writing: Intermediate Mixed Genre Workshop"
"AP","EN",3610,"Intermediate Prose Workshop: Fiction"
"AP","EN",3620,"Intermediate Poetry Workshop"
"AP","EN",4000,"Studies in Literary Theory: Cultural Studies"
"AP","EN",4002,"Food and Writing"
"AP","EN",4003,"Urban Experience in Victorian Britain"
"AP","EN",4004,"Two Canadian Theorists: Northrop Frye and Marshall McLuhan"
"AP","EN",4005,"Literature and Animals"
"AP","EN",4020,"Literature and Philosophy"
"AP","EN",4041,"History and Description of the English Language"
"AP","EN",4042,"Narratology"
"AP","EN",4050,"The Arts of Memory"
"AP","EN",4070,"Literature and Other Arts"
"AP","EN",4073,"Filming Literature: The Small Town in Film and Literature"
"AP","EN",4099,"Honours Thesis"
"AP","EN",4101,"Lyric Poetry from Sappho's Greece to Donne's England"
"AP","EN",4113,"Poetry by Women"
"AP","EN",4120,"Studies in 18th-Century Literature: The Rise of the Novel"
"AP","EN",4130,"The Short Story"
"AP","EN",4140,"Contemporary Drama"
"AP","EN",4143,"Plays and Counterplays"
"AP","EN",4163,"Visionary Trauma and Tradition: the Metaphysical Mind in Poetry, Prose, and Mixed Modes"
"AP","EN",4170,"Modernism/Postmodernism"
"AP","EN",4191,"Studies in the Literature of the United States: Contemporary Women Writers"
"AP","EN",4192,"Gay Male Literature"
"AP","EN",4220,"Canadian Graphic Novel"
"AP","EN",4250,"Canadian Topics: Literary Beginnings"
"AP","EN",4252,"Canadian Topics: Life-Writing"
"AP","EN",4254,"Canadian Topics: Contemporary Writers"
"AP","EN",4284,"History of Publishing in Canada"
"AP","EN",4332,"Edgar Allan Poe"
"AP","EN",4352,"F. Scott Fitzgerald"
"AP","EN",4371,"Contemporary American Drama"
"AP","EN",4384,"20th Century American Humour"
"AP","EN",4390,"Contemporary American Gothic"
"AP","EN",4400,"Diaspora Literatures"
"AP","EN",4412,"Transnational Writers: Amitav Ghosh"
"AP","EN",4425,"Post-apartheid South African Theatre"
"AP","EN",4515,"Early Modern Women Writers"
"AP","EN",4520,"Studies in Renaissance Poetry"
"AP","EN",4530,"Renaissance Theatre"
"AP","EN",4535,"Advanced Shakespeare"
"AP","EN",4560,"Studies in the English Romantics"
"AP","EN",4561,"Romantic Revolt: Loneliness, Madness and Satire (1750-1850)"
"AP","EN",4572,"Victorian Poetics: Aestheticism to Decadence"
"AP","EN",4576,"Studies in Prose Fiction: 19th-Century British Female Tradition"
"AP","EN",4579,"Late Victorian Fiction and the 'New Woman'"
"AP","EN",4582,"James Joyce"
"AP","EN",4583,"Virginia Woolf"
"AP","EN",4584,"20th Century British Humour"
"AP","EN",4600,"Principles of Creative Writing: Senior Mixed Genre Workshop"
"AP","EN",4610,"Senior Prose Workshop: Fiction and Non-FIction"
"AP","EN",4620,"Senior Poetry Workshop"
"AP","EN",4722,"Editing Shakespeare Electronically and in Print: The Theory and Practice of Editorial Transmission and Transformation"
"AP","ESL",1000,"Canadian Language and Culture"
"AP","ESL",1450,"Thinking about Contemporary Canada"
"AP","ESL",2000,"English in Use"
"AP","FND",100,"Fundamentals of Learning: Essentials for a Successful University Experience"
"AP","FR",1020,"Introductory French"
"AP","FR",1030,"Intermediate French"
"AP","FR",1060,"Business and Culture in French"
"AP","FR",1080,"French Language & Culture"
"AP","FR",2060,"Culture, Marketing, Operations in French"
"AP","FR",2061,"Culture, Management, Strategy in French"
"AP","FR",2081,"Written Communication in French"
"AP","FR",2082,"Oral Communication in French"
"AP","FR",2100,"Introduction to the Linguistic Study of French"
"AP","FR",2200,"Approaches to French Literature: An Introduction"
"AP","FR",3060,"The Culture of Negotiation in French"
"AP","FR",3081,"Advanced Written Communication in French"
"AP","FR",3082,"Advanced Oral Communication in French"
"AP","FR",3100,"French Morphosyntax"
"AP","FR",3130,"French Semantics and Lexicology"
"AP","FR",3380,"A Survey of Literature in French"
"AP","FR",4090,"Language and Techniques of Communication"
"AP","FR",4122,"Models of Second Language Acquisition"
"AP","FR",4123,"Information, Communication and Multimedia Technologies and Language Learning"
"AP","FR",4323,"Performing Arts in 17th Century France"
"AP","FR",4332,"Comedy in the 18th Century"
"AP","FR",4343,"19th-Century French Literature: Towards Modernity"
"AP","FR",4351,"20th-Century French Literature (1900-1950): The Existential Hero"
"AP","FR",4361,"Francophone Literature I: Towards Independence"
"AP","FR",4900,"Individualized Study"
"AP","FR",4900,"Individualized Study"
"AP","GEOG",1000,"Introduction to World Geography"
"AP","GEOG",1400,"Physical Geography"
"AP","GEOG",1410,"Human Geography"
"AP","GEOG",2020,"Geographical Transformation of the Caribbean Islands"
"AP","GEOG",2030,"The End of the Earth as We Know It: Global Environmental Change"
"AP","GEOG",2070,"Empire"
"AP","GEOG",2075,"Geographies of Everyday Life"
"AP","GEOG",2105,"Money, Power and Space: Introduction to Economic Geography"
"AP","GEOG",2220,"Urban Geography"
"AP","GEOG",2305,"Geographies of Identity"
"AP","GEOG",2350,"Introduction to Geoinformatics"
"AP","GEOG",2400,"The Hydrosphere"
"AP","GEOG",2420,"Introductory Statistical Analysis in Geography"
"AP","GEOG",2500,"Introduction to Vegetation and Soils"
"AP","GEOG",2600,"Geomorphology I"
"AP","GEOG",3010,"Geography of Canada"
"AP","GEOG",3040,"Urban Environmental Justice"
"AP","GEOG",3050,"Nature, Power and Society"
"AP","GEOG",3060,"Post-Colonial Geographies"
"AP","GEOG",3070,"Gender, Population and Migration"
"AP","GEOG",3080,"Reading Landscapes Through Time"
"AP","GEOG",3130,"The Global Economy"
"AP","GEOG",3140,"Retailing, Shopping, Society and Space"
"AP","GEOG",3180,"Introduction to Geographic Information Systems (GIS)"
"AP","GEOG",3200,"Terrestrial Ecosystems"
"AP","GEOG",3220,"Advanced Urban Geography"
"AP","GEOG",3300,"Space/Place"
"AP","GEOG",3360,"Morphogenesis of Soils"
"AP","GEOG",3370,"International Development: Critical Geographical Perspectives"
"AP","GEOG",3400,"Dimensions of Difference: Geography of Gender, Race and Power"
"AP","GEOG",3440,"Environmental Remote Sensing"
"AP","GEOG",3490,"Making Canada"
"AP","GEOG",3500,"Biogeography"
"AP","GEOG",3510,"Methods of Sediment"
"AP","GEOG",3540,"Field Studies in Physical Geography"
"AP","GEOG",3600,"Nations and Nationalisms"
"AP","GEOG",3650,"WiredCities: Community, Technology and Changing Urban Places"
"AP","GEOG",3700,"Disaster! The Earth's Extreme Natural Events"
"AP","GEOG",3740,"Qualitative Research Methods in Human Geography"
"AP","GEOG",3760,"The Philippines: Geographical Perspectives on Global Integration"
"AP","GEOG",4000,"Honours Thesis"
"AP","GEOG",4040,"Urban Historical Geography"
"AP","GEOG",4090,"Urban Identities: Historical Perspectives on Race, Ethnicity, Gender and Class in Canadian and American Cities"
"AP","GEOG",4130,"Planning Suburbs"
"AP","GEOG",4150,"Foodscapes and Agri-scapes: Geographical Perspectives"
"AP","GEOG",4170,"Geographic Perspectives on Immigration, Ethnicity and Race in Modern Cities"
"AP","GEOG",4190,"Geographies of the Ethnic Economy"
"AP","GEOG",4200,"Water Quality and Stream Ecosystems"
"AP","GEOG",4215,"Ecological Climatology"
"AP","GEOG",4220,"Geographies of Industry: Neoliberal Era"
"AP","GEOG",4240,"The Planning of Urban Public Facilities"
"AP","GEOG",4250,"Imagined Landscapes"
"AP","GEOG",4290,"Directed Reading"
"AP","GEOG",4290,"Directed Reading"
"AP","GEOG",4310,"Dynamics of Snow and Ice"
"AP","GEOG",4340,"Geographic Information Systems"
"AP","GEOG",4380,"Urban Social Policy"
"AP","GEOG",4400,"Physical Hydrology and Water Resources"
"AP","GEOG",4410,"Desert Ecosystems"
"AP","GEOG",4440,"Remote Sensing and Image Processing for Geographical Analysis and Environmental Monitoring"
"AP","GEOG",4520,"Research Design & Field Studies in Human Geography"
"AP","GEOG",4600,"Rivers: Environment and Process"
"AP","GEOG",4605,"The Greater Toronto Area: A Geographical Perspective"
"AP","GEOG",4610,"Geopolitics"
"AP","GEOG",4750,"Geography of Disabilities"
"AP","GEOG",4850,"The state, civil society and spaces of development"
"AP","GEOG",4880,"Spaces of Conflict, Violence, and Power"
"AP","GEOG",4900,"Public Space"
"AP","GER",1000,"Elementary German"
"AP","GER",2000,"Intermediate German"
"AP","GER",2790,"Germany Through the Ages: Culture and Society"
"AP","GER",3001,"Advanced Level German, Level IA"
"AP","GER",3002,"Advanced Level German, Level IB"
"AP","GER",3200,"Modern and Contemporary German Writers (in translation)"
"AP","GER",3601,"Vienna in the Early 20th Century: Literature, Art, Culture and Politics (in translation)"
"AP","GER",3750,"Inventing the Museum: Collecting, Culture and Modernity"
"AP","GER",3791,"Early German Cinema"
"AP","GER",3792,"Recent German Film and Culture (in translation)"
"AP","GER",3989,"Germany and the Global Imaginary"
"AP","GER",4200,"Modern and Contemporary German Writers"
"AP","GER",4750,"Inventing the Museum:Collecting, Culture and Modernity"
"AP","GK",1000,"Elementary Classical Greek"
"AP","GK",2000,"Intermediate Classical and Biblical Greek"
"AP","GK",3030,"Greek Epic Poetry"
"AP","GK",3080,"Later Greek Prose"
